lat,lon,date,weather,temperature,humidity,apparent_temp,precip_prob,summary,precip_mm,precip_tipo
37.3886,-5.9823,2026-03-12T00:00:00.000000,partly_sunny,12.9,80,12.2,0,Partly sunny,0.0,none
37.3886,-5.9823,2026-03-12T01:00:00.000000,partly_sunny,11.9,85,11.3,0,Partly sunny,0.0,none
37.3886,-5.9823,2026-03-12T02:00:00.000000,partly_sunny,11.2,90,10.6,0,Partly sunny,0.0,none
37.3886,-5.9823,2026-03-12T03:00:00.000000,partly_sunny,10.8,91,10.4,0,Partly sunny,0.0,none
37.3886,-5.9823,2026-03-12T04:00:00.000000,partly_sunny,10.6,92,10.4,0,Partly sunny,0.0,none
37.3886,-5.9823,2026-03-12T05:00:00.000000,partly_sunny,10.3,93,9.8,0,Partly sunny,0.0,none
37.3886,-5.9823,2026-03-12T06:00:00.000000,partly_sunny,9.9,94,9.2,0,Partly sunny,0.0,none
37.3886,-5.9823,2026-03-12T07:00:00.000000,fog,9.3,96,8.5,0,Fog,0.0,none
37.3886,-5.9823,2026-03-12T08:00:00.000000,fog,8.9,97,7.9,0,Fog,0.0,none
37.3886,-5.9823,2026-03-12T09:00:00.000000,sunny,9.8,93,8.9,0,Sunny,0.0,none
37.3886,-5.9823,2026-03-12T10:00:00.000000,sunny,12.4,81,11.3,0,Sunny,0.0,none
37.3886,-5.9823,2026-03-12T11:00:00.000000,sunny,15.0,68,13.6,0,Sunny,0.0,none
37.3886,-5.9823,2026-03-12T12:00:00.000000,sunny,17.4,58,16.5,0,Sunny,0.0,none
37.3886,-5.9823,2026-03-12T13:00:00.000000,sunny,19.3,49,18.7,0,Sunny,0.0,none
37.3886,-5.9823,2026-03-12T14:00:00.000000,sunny,20.6,45,20.3,0,Sunny,0.0,none
37.3886,-5.9823,2026-03-12T15:00:00.000000,partly_sunny,21.4,44,21.0,0,Partly sunny,0.0,none
37.3886,-5.9823,2026-03-12T16:00:00.000000,partly_sunny,21.7,41,20.4,0,Partly sunny,0.0,none
37.3886,-5.9823,2026-03-12T17:00:00.000000,partly_sunny,21.6,42,19.8,0,Partly sunny,0.0,none
37.3886,-5.9823,2026-03-12T18:00:00.000000,partly_sunny,21.2,44,19.6,0,Partly sunny,0.0,none
37.3886,-5.9823,2026-03-12T19:00:00.000000,sunny,20.4,45,19.1,0,Sunny,0.0,none
37.3886,-5.9823,2026-03-12T20:00:00.000000,sunny,18.4,56,17.7,0,Sunny,0.0,none
37.3886,-5.9823,2026-03-12T21:00:00.000000,sunny,16.8,63,16.2,0,Sunny,0.0,none
37.3886,-5.9823,2026-03-12T22:00:00.000000,sunny,15.6,68,15.0,0,Sunny,0.0,none
37.3886,-5.9823,2026-03-12T23:00:00.000000,sunny,14.5,73,13.9,0,Sunny,0.0,none
37.3886,-5.9823,2026-03-13T00:00:00.000000,sunny,13.6,77,13.0,0,Sunny,0.0,none
37.3886,-5.9823,2026-03-13T01:00:00.000000,sunny,13.0,79,12.5,0,Sunny,0.0,none
37.3886,-5.9823,2026-03-13T02:00:00.000000,sunny,12.5,80,11.8,0,Sunny,0.0,none
37.3886,-5.9823,2026-03-13T03:00:00.000000,sunny,11.7,84,11.0,0,Sunny,0.0,none
